2026-09-21 11:10:49 | FACILITY_WATER_MAIN | 7 | NORMAL
2026-09-21 11:11:03 | ICU_WATER_RESERVE | 11 | NORMAL
2026-09-21 11:11:04 | FACILITY_WATER_MAIN | 10 | NORMAL
2026-09-21 11:11:04 | ICU_WATER_RESERVE | 15 | NORMAL
2026-09-21 11:11:05 | FACILITY_WATER_MAIN | 41 | HIGH_USAGE
2026-09-21 11:11:05 | ICU_WATER_RESERVE | 33 | NORMAL
2026-09-21 11:11:06 | FACILITY_WATER_MAIN | 41 | HIGH_USAGE
2026-09-21 11:11:06 | ICU_WATER_RESERVE | 13 | NORMAL
2026-09-21 11:11:07 | FACILITY_WATER_MAIN | 21 | NORMAL
2026-09-21 11:11:07 | ICU_WATER_RESERVE | 37 | HIGH_USAGE
2026-09-21 11:11:08 | FACILITY_WATER_MAIN | 30 | NORMAL
2026-09-21 11:11:08 | ICU_WATER_RESERVE | 42 | HIGH_USAGE
2026-09-21 11:11:09 | FACILITY_WATER_MAIN | 44 | HIGH_USAGE
2026-09-21 11:11:09 | ICU_WATER_RESERVE | 21 | NORMAL
2026-09-21 11:11:10 | FACILITY_WATER_MAIN | 25 | NORMAL
2026-09-21 11:11:10 | ICU_WATER_RESERVE | 23 | NORMAL
2026-09-21 11:11:11 | FACILITY_WATER_MAIN | 20 | NORMAL
2026-09-21 11:11:11 | ICU_WATER_RESERVE | 32 | NORMAL
2026-09-21 11:11:12 | FACILITY_WATER_MAIN | 37 | HIGH_USAGE
2026-09-21 11:11:12 | ICU_WATER_RESERVE | 44 | HIGH_USAGE
2026-09-21 11:11:13 | FACILITY_WATER_MAIN | 29 | NORMAL
2026-09-21 11:11:13 | ICU_WATER_RESERVE | 44 | HIGH_USAGE
2026-09-21 11:11:14 | FACILITY_WATER_MAIN | 38 | HIGH_USAGE
2026-09-21 11:11:14 | ICU_WATER_RESERVE | 18 | NORMAL
2026-09-21 11:11:15 | FACILITY_WATER_MAIN | 16 | NORMAL
2026-09-21 11:11:15 | ICU_WATER_RESERVE | 21 | NORMAL
2026-09-21 11:11:16 | FACILITY_WATER_MAIN | 25 | NORMAL
2026-09-21 11:11:16 | ICU_WATER_RESERVE | 33 | NORMAL
2026-09-21 11:11:17 | FACILITY_WATER_MAIN | 43 | HIGH_USAGE
2026-09-21 11:11:17 | ICU_WATER_RESERVE | 26 | NORMAL
2026-09-21 11:11:18 | FACILITY_WATER_MAIN | 18 | NORMAL
2026-09-21 11:11:18 | ICU_WATER_RESERVE | 35 | NORMAL
2026-09-21 11:11:19 | FACILITY_WATER_MAIN | 33 | NORMAL
2026-09-21 11:11:19 | ICU_WATER_RESERVE | 16 | NORMAL
2026-09-21 11:11:20 | FACILITY_WATER_MAIN | 45 | HIGH_USAGE
2026-09-21 11:11:20 | ICU_WATER_RESERVE | 17 | NORMAL
2026-09-21 11:11:21 | FACILITY_WATER_MAIN | 19 | NORMAL
2026-09-21 11:11:21 | ICU_WATER_RESERVE | 35 | NORMAL
2026-09-21 11:11:22 | FACILITY_WATER_MAIN | 20 | NORMAL
2026-09-21 11:11:22 | ICU_WATER_RESERVE | 34 | NORMAL
2026-09-21 11:11:23 | FACILITY_WATER_MAIN | 30 | NORMAL
2026-09-21 11:11:23 | ICU_WATER_RESERVE | 5 | NORMAL
2026-09-21 11:11:24 | FACILITY_WATER_MAIN | 22 | NORMAL
2026-09-21 11:11:24 | ICU_WATER_RESERVE | 7 | NORMAL
2026-09-21 11:11:25 | FACILITY_WATER_MAIN | 13 | NORMAL
2026-09-21 11:11:25 | ICU_WATER_RESERVE | 10 | NORMAL
2026-09-21 11:11:26 | FACILITY_WATER_MAIN | 41 | HIGH_USAGE
2026-09-21 11:11:26 | ICU_WATER_RESERVE | 42 | HIGH_USAGE
2026-09-21 11:11:27 | FACILITY_WATER_MAIN | 20 | NORMAL
2026-09-21 11:11:27 | ICU_WATER_RESERVE | 6 | NORMAL
2026-09-21 11:11:28 | FACILITY_WATER_MAIN | 19 | NORMAL
2026-09-21 11:11:28 | ICU_WATER_RESERVE | 37 | HIGH_USAGE
2026-09-21 11:11:29 | FACILITY_WATER_MAIN | 23 | NORMAL
2026-09-21 11:11:29 | ICU_WATER_RESERVE | 42 | HIGH_USAGE
2026-09-21 11:11:30 | FACILITY_WATER_MAIN | 28 | NORMAL
2026-09-21 11:11:30 | ICU_WATER_RESERVE | 23 | NORMAL
2026-09-21 11:11:31 | FACILITY_WATER_MAIN | 45 | HIGH_USAGE
2026-09-21 11:11:31 | ICU_WATER_RESERVE | 23 | NORMAL
2026-09-21 11:11:32 | FACILITY_WATER_MAIN | 25 | NORMAL
2026-09-21 11:11:32 | ICU_WATER_RESERVE | 34 | NORMAL
2026-09-21 11:11:33 | FACILITY_WATER_MAIN | 20 | NORMAL
2026-09-21 11:11:33 | ICU_WATER_RESERVE | 10 | NORMAL
2026-09-21 11:11:34 | FACILITY_WATER_MAIN | 26 | NORMAL
2026-09-21 11:11:34 | ICU_WATER_RESERVE | 16 | NORMAL
2026-09-21 11:11:35 | FACILITY_WATER_MAIN | 14 | NORMAL
2026-09-21 11:11:35 | ICU_WATER_RESERVE | 12 | NORMAL
2026-09-21 11:11:36 | FACILITY_WATER_MAIN | 43 | HIGH_USAGE
2026-09-21 11:11:36 | ICU_WATER_RESERVE | 42 | HIGH_USAGE
2026-09-21 11:11:37 | FACILITY_WATER_MAIN | 36 | HIGH_USAGE
2026-09-21 11:11:37 | ICU_WATER_RESERVE | 17 | NORMAL
2026-09-21 11:11:38 | FACILITY_WATER_MAIN | 13 | NORMAL
2026-09-21 11:11:38 | ICU_WATER_RESERVE | 41 | HIGH_USAGE
2026-09-21 11:11:39 | FACILITY_WATER_MAIN | 20 | NORMAL
2026-09-21 11:11:39 | ICU_WATER_RESERVE | 33 | NORMAL
2026-09-21 11:11:40 | FACILITY_WATER_MAIN | 31 | NORMAL
2026-09-21 11:11:40 | ICU_WATER_RESERVE | 37 | HIGH_USAGE
2026-09-21 11:11:41 | FACILITY_WATER_MAIN | 45 | HIGH_USAGE
2026-09-21 11:11:41 | ICU_WATER_RESERVE | 42 | HIGH_USAGE
2026-09-21 11:11:42 | FACILITY_WATER_MAIN | 25 | NORMAL
2026-09-21 11:11:42 | ICU_WATER_RESERVE | 5 | NORMAL
2026-09-21 11:11:43 | FACILITY_WATER_MAIN | 39 | HIGH_USAGE
2026-09-21 11:11:43 | ICU_WATER_RESERVE | 35 | NORMAL
2026-09-21 11:11:44 | FACILITY_WATER_MAIN | 44 | HIGH_USAGE
2026-09-21 11:11:44 | ICU_WATER_RESERVE | 43 | HIGH_USAGE
2026-09-21 11:11:45 | FACILITY_WATER_MAIN | 8 | NORMAL
2026-09-21 11:11:45 | ICU_WATER_RESERVE | 24 | NORMAL
2026-09-21 11:11:46 | FACILITY_WATER_MAIN | 7 | NORMAL
2026-09-21 11:11:46 | ICU_WATER_RESERVE | 33 | NORMAL
2026-09-21 11:11:47 | FACILITY_WATER_MAIN | 41 | HIGH_USAGE
2026-09-21 11:11:47 | ICU_WATER_RESERVE | 45 | HIGH_USAGE
2026-09-21 11:11:48 | FACILITY_WATER_MAIN | 16 | NORMAL
2026-09-21 11:11:48 | ICU_WATER_RESERVE | 18 | NORMAL
2026-09-21 11:11:49 | FACILITY_WATER_MAIN | 14 | NORMAL
2026-09-21 11:11:49 | ICU_WATER_RESERVE | 24 | NORMAL
2026-09-21 11:11:50 | FACILITY_WATER_MAIN | 15 | NORMAL
2026-09-21 11:11:50 | ICU_WATER_RESERVE | 34 | NORMAL
2026-09-21 11:11:51 | FACILITY_WATER_MAIN | 17 | NORMAL
2026-09-21 11:11:51 | ICU_WATER_RESERVE | 8 | NORMAL
2026-09-21 11:11:52 | FACILITY_WATER_MAIN | 16 | NORMAL
2026-09-21 11:11:52 | ICU_WATER_RESERVE | 8 | NORMAL
2026-09-21 11:11:53 | FACILITY_WATER_MAIN | 40 | HIGH_USAGE
2026-09-21 11:11:53 | ICU_WATER_RESERVE | 24 | NORMAL
2026-09-21 11:11:54 | FACILITY_WATER_MAIN | 17 | NORMAL
2026-09-21 11:11:54 | ICU_WATER_RESERVE | 27 | NORMAL
2026-09-21 11:11:55 | FACILITY_WATER_MAIN | 42 | HIGH_USAGE
2026-09-21 11:11:55 | ICU_WATER_RESERVE | 11 | NORMAL
2026-09-21 11:11:56 | FACILITY_WATER_MAIN | 6 | NORMAL
2026-09-21 11:11:56 | ICU_WATER_RESERVE | 19 | NORMAL
2026-09-21 11:11:57 | FACILITY_WATER_MAIN | 44 | HIGH_USAGE
2026-09-21 11:11:57 | ICU_WATER_RESERVE | 31 | NORMAL
2026-09-21 11:11:58 | FACILITY_WATER_MAIN | 24 | NORMAL
2026-09-21 11:11:58 | ICU_WATER_RESERVE | 11 | NORMAL
2026-09-21 11:11:59 | FACILITY_WATER_MAIN | 25 | NORMAL
2026-09-21 11:11:59 | ICU_WATER_RESERVE | 13 | NORMAL
2026-09-21 11:12:00 | FACILITY_WATER_MAIN | 16 | NORMAL
2026-09-21 11:12:00 | ICU_WATER_RESERVE | 7 | NORMAL
2026-09-21 11:12:01 | FACILITY_WATER_MAIN | 14 | NORMAL
2026-09-21 11:12:01 | ICU_WATER_RESERVE | 42 | HIGH_USAGE
2026-09-21 11:12:02 | FACILITY_WATER_MAIN | 44 | HIGH_USAGE
2026-09-21 11:12:02 | ICU_WATER_RESERVE | 27 | NORMAL
2026-09-21 11:12:03 | FACILITY_WATER_MAIN | 31 | NORMAL
2026-09-21 11:12:03 | ICU_WATER_RESERVE | 6 | NORMAL
2026-09-21 11:12:04 | FACILITY_WATER_MAIN | 39 | HIGH_USAGE
2026-09-21 11:12:04 | ICU_WATER_RESERVE | 31 | NORMAL
2026-09-21 11:12:05 | FACILITY_WATER_MAIN | 17 | NORMAL
2026-09-21 11:12:05 | ICU_WATER_RESERVE | 19 | NORMAL
2026-09-21 11:12:06 | FACILITY_WATER_MAIN | 33 | NORMAL
2026-09-21 11:12:06 | ICU_WATER_RESERVE | 15 | NORMAL
2026-09-21 11:12:07 | FACILITY_WATER_MAIN | 11 | NORMAL
2026-09-21 11:12:07 | ICU_WATER_RESERVE | 21 | NORMAL
2026-09-21 11:12:08 | FACILITY_WATER_MAIN | 40 | HIGH_USAGE
2026-09-21 11:12:08 | ICU_WATER_RESERVE | 22 | NORMAL
2026-09-21 11:12:09 | FACILITY_WATER_MAIN | 28 | NORMAL
2026-09-21 11:12:09 | ICU_WATER_RESERVE | 19 | NORMAL
2026-09-21 11:12:10 | FACILITY_WATER_MAIN | 33 | NORMAL
2026-09-21 11:12:10 | ICU_WATER_RESERVE | 31 | NORMAL
2026-09-21 11:12:11 | FACILITY_WATER_MAIN | 18 | NORMAL
2026-09-21 11:12:11 | ICU_WATER_RESERVE | 39 | HIGH_USAGE
2026-09-21 11:12:12 | FACILITY_WATER_MAIN | 17 | NORMAL
2026-09-21 11:12:12 | ICU_WATER_RESERVE | 6 | NORMAL
2026-09-21 11:12:13 | FACILITY_WATER_MAIN | 45 | HIGH_USAGE
2026-09-21 11:12:13 | ICU_WATER_RESERVE | 14 | NORMAL
2026-09-21 11:12:14 | FACILITY_WATER_MAIN | 36 | HIGH_USAGE
2026-09-21 11:12:14 | ICU_WATER_RESERVE | 38 | HIGH_USAGE
2026-09-21 11:12:15 | FACILITY_WATER_MAIN | 45 | HIGH_USAGE
2026-09-21 11:12:15 | ICU_WATER_RESERVE | 26 | NORMAL
2026-09-21 11:12:16 | FACILITY_WATER_MAIN | 20 | NORMAL
2026-09-21 11:12:16 | ICU_WATER_RESERVE | 15 | NORMAL
2026-09-21 11:12:17 | FACILITY_WATER_MAIN | 41 | HIGH_USAGE
2026-09-21 11:12:17 | ICU_WATER_RESERVE | 24 | NORMAL
2026-09-21 11:12:18 | FACILITY_WATER_MAIN | 17 | NORMAL
2026-09-21 11:12:18 | ICU_WATER_RESERVE | 10 | NORMAL
2026-09-21 11:12:19 | FACILITY_WATER_MAIN | 35 | NORMAL
2026-09-21 11:12:19 | ICU_WATER_RESERVE | 9 | NORMAL
2026-09-21 11:12:20 | FACILITY_WATER_MAIN | 33 | NORMAL
2026-09-21 11:12:20 | ICU_WATER_RESERVE | 35 | NORMAL
2026-09-21 11:12:21 | FACILITY_WATER_MAIN | 25 | NORMAL
2026-09-21 11:12:21 | ICU_WATER_RESERVE | 18 | NORMAL
2026-09-21 11:12:22 | FACILITY_WATER_MAIN | 36 | HIGH_USAGE
2026-09-21 11:12:22 | ICU_WATER_RESERVE | 9 | NORMAL
2026-09-21 11:12:23 | FACILITY_WATER_MAIN | 12 | NORMAL
2026-09-21 11:12:23 | ICU_WATER_RESERVE | 45 | HIGH_USAGE
2026-09-21 11:12:24 | FACILITY_WATER_MAIN | 32 | NORMAL
2026-09-21 11:12:24 | ICU_WATER_RESERVE | 44 | HIGH_USAGE
2026-09-21 11:12:25 | FACILITY_WATER_MAIN | 18 | NORMAL
2026-09-21 11:12:25 | ICU_WATER_RESERVE | 41 | HIGH_USAGE
2026-09-21 11:12:26 | FACILITY_WATER_MAIN | 24 | NORMAL
2026-09-21 11:12:26 | ICU_WATER_RESERVE | 12 | NORMAL
2026-09-21 11:12:27 | FACILITY_WATER_MAIN | 15 | NORMAL
2026-09-21 11:12:27 | ICU_WATER_RESERVE | 15 | NORMAL
2026-09-21 11:12:28 | FACILITY_WATER_MAIN | 32 | NORMAL
2026-09-21 11:12:28 | ICU_WATER_RESERVE | 38 | HIGH_USAGE
2026-09-21 11:12:29 | FACILITY_WATER_MAIN | 36 | HIGH_USAGE
2026-09-21 11:12:29 | ICU_WATER_RESERVE | 29 | NORMAL
2026-09-21 11:12:30 | FACILITY_WATER_MAIN | 27 | NORMAL
2026-09-21 11:12:30 | ICU_WATER_RESERVE | 45 | HIGH_USAGE
2026-09-21 11:12:31 | FACILITY_WATER_MAIN | 25 | NORMAL
2026-09-21 11:12:31 | ICU_WATER_RESERVE | 32 | NORMAL
2026-09-21 11:12:32 | FACILITY_WATER_MAIN | 18 | NORMAL
2026-09-21 11:12:32 | ICU_WATER_RESERVE | 17 | NORMAL
2026-09-21 11:12:33 | FACILITY_WATER_MAIN | 15 | NORMAL
2026-09-21 11:12:33 | ICU_WATER_RESERVE | 38 | HIGH_USAGE
2026-09-21 11:12:34 | FACILITY_WATER_MAIN | 29 | NORMAL
2026-09-21 11:12:34 | ICU_WATER_RESERVE | 37 | HIGH_USAGE
2026-09-21 11:12:35 | FACILITY_WATER_MAIN | 40 | HIGH_USAGE
2026-09-21 11:12:35 | ICU_WATER_RESERVE | 40 | HIGH_USAGE
2026-09-21 11:12:36 | FACILITY_WATER_MAIN | 39 | HIGH_USAGE
2026-09-21 11:12:36 | ICU_WATER_RESERVE | 17 | NORMAL
2026-09-21 11:12:37 | FACILITY_WATER_MAIN | 33 | NORMAL
2026-09-21 11:12:37 | ICU_WATER_RESERVE | 31 | NORMAL
2026-09-21 11:12:38 | FACILITY_WATER_MAIN | 23 | NORMAL
2026-09-21 11:12:38 | ICU_WATER_RESERVE | 43 | HIGH_USAGE
2026-09-21 11:12:39 | FACILITY_WATER_MAIN | 16 | NORMAL
2026-09-21 11:12:39 | ICU_WATER_RESERVE | 23 | NORMAL
2026-09-21 11:12:40 | FACILITY_WATER_MAIN | 42 | HIGH_USAGE
2026-09-21 11:12:40 | ICU_WATER_RESERVE | 10 | NORMAL
2026-09-21 11:12:41 | FACILITY_WATER_MAIN | 28 | NORMAL
2026-09-21 11:12:41 | ICU_WATER_RESERVE | 42 | HIGH_USAGE
2026-09-21 11:12:42 | FACILITY_WATER_MAIN | 30 | NORMAL
2026-09-21 11:12:42 | ICU_WATER_RESERVE | 41 | HIGH_USAGE
2026-09-21 11:12:43 | FACILITY_WATER_MAIN | 29 | NORMAL
2026-09-21 11:12:43 | ICU_WATER_RESERVE | 18 | NORMAL
2026-09-21 11:12:44 | FACILITY_WATER_MAIN | 41 | HIGH_USAGE
2026-09-21 11:12:44 | ICU_WATER_RESERVE | 28 | NORMAL
2026-09-21 11:12:45 | FACILITY_WATER_MAIN | 10 | NORMAL
2026-09-21 11:12:45 | ICU_WATER_RESERVE | 29 | NORMAL
2026-09-21 11:12:46 | FACILITY_WATER_MAIN | 35 | NORMAL
2026-09-21 11:12:46 | ICU_WATER_RESERVE | 40 | HIGH_USAGE
2026-09-21 11:12:47 | FACILITY_WATER_MAIN | 11 | NORMAL
2026-09-21 11:12:47 | ICU_WATER_RESERVE | 18 | NORMAL
2026-09-21 11:12:48 | FACILITY_WATER_MAIN | 33 | NORMAL
2026-09-21 11:12:48 | ICU_WATER_RESERVE | 19 | NORMAL
2026-09-21 11:12:49 | FACILITY_WATER_MAIN | 27 | NORMAL
2026-09-21 11:12:49 | ICU_WATER_RESERVE | 33 | NORMAL
2026-09-21 11:12:50 | FACILITY_WATER_MAIN | 17 | NORMAL
2026-09-21 11:12:50 | ICU_WATER_RESERVE | 34 | NORMAL
2026-09-21 11:12:51 | FACILITY_WATER_MAIN | 5 | NORMAL
2026-09-21 11:12:51 | ICU_WATER_RESERVE | 18 | NORMAL
2026-09-21 11:12:52 | FACILITY_WATER_MAIN | 43 | HIGH_USAGE
2026-09-21 11:12:52 | ICU_WATER_RESERVE | 20 | NORMAL
2026-09-21 11:12:53 | FACILITY_WATER_MAIN | 25 | NORMAL
2026-09-21 11:12:53 | ICU_WATER_RESERVE | 42 | HIGH_USAGE
2026-09-21 11:12:54 | FACILITY_WATER_MAIN | 27 | NORMAL
2026-09-21 11:12:54 | ICU_WATER_RESERVE | 26 | NORMAL
2026-09-21 11:12:55 | FACILITY_WATER_MAIN | 24 | NORMAL
2026-09-21 11:12:55 | ICU_WATER_RESERVE | 36 | HIGH_USAGE
2026-09-21 11:12:56 | FACILITY_WATER_MAIN | 43 | HIGH_USAGE
2026-09-21 11:12:56 | ICU_WATER_RESERVE | 41 | HIGH_USAGE
2026-09-21 11:12:57 | FACILITY_WATER_MAIN | 37 | HIGH_USAGE
2026-09-21 11:12:57 | ICU_WATER_RESERVE | 15 | NORMAL
2026-09-21 11:12:58 | FACILITY_WATER_MAIN | 19 | NORMAL
2026-09-21 11:12:58 | ICU_WATER_RESERVE | 28 | NORMAL
2026-09-21 11:12:59 | FACILITY_WATER_MAIN | 16 | NORMAL
2026-09-21 11:12:59 | ICU_WATER_RESERVE | 5 | NORMAL
2026-09-21 11:13:00 | FACILITY_WATER_MAIN | 19 | NORMAL
2026-09-21 11:13:00 | ICU_WATER_RESERVE | 6 | NORMAL
2026-09-21 11:13:01 | FACILITY_WATER_MAIN | 37 | HIGH_USAGE
2026-09-21 11:13:01 | ICU_WATER_RESERVE | 33 | NORMAL
2026-09-21 11:13:02 | FACILITY_WATER_MAIN | 6 | NORMAL
2026-09-21 11:13:02 | ICU_WATER_RESERVE | 6 | NORMAL
2026-09-21 11:13:03 | FACILITY_WATER_MAIN | 21 | NORMAL
2026-09-21 11:13:03 | ICU_WATER_RESERVE | 20 | NORMAL
2026-09-21 11:13:04 | FACILITY_WATER_MAIN | 24 | NORMAL
2026-09-21 11:13:04 | ICU_WATER_RESERVE | 35 | NORMAL
2026-09-21 11:13:05 | FACILITY_WATER_MAIN | 10 | NORMAL
2026-09-21 11:13:05 | ICU_WATER_RESERVE | 22 | NORMAL
2026-09-21 11:13:06 | FACILITY_WATER_MAIN | 8 | NORMAL
2026-09-21 11:13:06 | ICU_WATER_RESERVE | 18 | NORMAL
2026-09-21 11:13:07 | FACILITY_WATER_MAIN | 42 | HIGH_USAGE
2026-09-21 11:13:07 | ICU_WATER_RESERVE | 23 | NORMAL
2026-09-21 11:13:08 | FACILITY_WATER_MAIN | 34 | NORMAL
2026-09-21 11:13:08 | ICU_WATER_RESERVE | 38 | HIGH_USAGE
2026-09-21 11:13:09 | FACILITY_WATER_MAIN | 29 | NORMAL
2026-09-21 11:13:09 | ICU_WATER_RESERVE | 27 | NORMAL
2026-09-21 11:13:10 | FACILITY_WATER_MAIN | 26 | NORMAL
2026-09-21 11:13:10 | ICU_WATER_RESERVE | 24 | NORMAL
2026-09-21 11:13:11 | FACILITY_WATER_MAIN | 16 | NORMAL
2026-09-21 11:13:11 | ICU_WATER_RESERVE | 45 | HIGH_USAGE
2026-09-21 11:13:12 | FACILITY_WATER_MAIN | 23 | NORMAL
2026-09-21 11:13:12 | ICU_WATER_RESERVE | 31 | NORMAL
2026-09-21 11:13:13 | FACILITY_WATER_MAIN | 35 | NORMAL
2026-09-21 11:13:13 | ICU_WATER_RESERVE | 44 | HIGH_USAGE
2026-09-21 11:13:14 | FACILITY_WATER_MAIN | 36 | HIGH_USAGE
2026-09-21 11:13:14 | ICU_WATER_RESERVE | 45 | HIGH_USAGE
2026-09-21 11:13:15 | FACILITY_WATER_MAIN | 28 | NORMAL
2026-09-21 11:13:15 | ICU_WATER_RESERVE | 31 | NORMAL
2026-09-21 11:13:16 | FACILITY_WATER_MAIN | 18 | NORMAL
2026-09-21 11:13:16 | ICU_WATER_RESERVE | 26 | NORMAL
2026-09-21 11:13:17 | FACILITY_WATER_MAIN | 45 | HIGH_USAGE
2026-09-21 11:13:17 | ICU_WATER_RESERVE | 32 | NORMAL
2026-09-21 11:13:18 | FACILITY_WATER_MAIN | 25 | NORMAL
2026-09-21 11:13:18 | ICU_WATER_RESERVE | 37 | HIGH_USAGE
2026-09-21 11:13:19 | FACILITY_WATER_MAIN | 11 | NORMAL
2026-09-21 11:13:19 | ICU_WATER_RESERVE | 39 | HIGH_USAGE
2026-09-21 11:13:20 | FACILITY_WATER_MAIN | 10 | NORMAL
2026-09-21 11:13:20 | ICU_WATER_RESERVE | 43 | HIGH_USAGE
2026-09-21 11:13:21 | FACILITY_WATER_MAIN | 13 | NORMAL
2026-09-21 11:13:21 | ICU_WATER_RESERVE | 18 | NORMAL
2026-09-21 11:13:22 | FACILITY_WATER_MAIN | 9 | NORMAL
2026-09-21 11:13:22 | ICU_WATER_RESERVE | 12 | NORMAL
2026-09-21 11:13:23 | FACILITY_WATER_MAIN | 38 | HIGH_USAGE
2026-09-21 11:13:23 | ICU_WATER_RESERVE | 29 | NORMAL
2026-09-21 11:13:24 | FACILITY_WATER_MAIN | 33 | NORMAL
2026-09-21 11:13:24 | ICU_WATER_RESERVE | 13 | NORMAL
2026-09-21 11:13:25 | FACILITY_WATER_MAIN | 25 | NORMAL
2026-09-21 11:13:25 | ICU_WATER_RESERVE | 35 | NORMAL
2026-09-21 11:13:26 | FACILITY_WATER_MAIN | 17 | NORMAL
2026-09-21 11:13:26 | ICU_WATER_RESERVE | 20 | NORMAL
2026-09-21 11:13:27 | FACILITY_WATER_MAIN | 43 | HIGH_USAGE
2026-09-21 11:13:27 | ICU_WATER_RESERVE | 34 | NORMAL
2026-09-21 11:13:28 | FACILITY_WATER_MAIN | 25 | NORMAL
2026-09-21 11:13:28 | ICU_WATER_RESERVE | 7 | NORMAL
2026-09-21 11:13:29 | FACILITY_WATER_MAIN | 40 | HIGH_USAGE
2026-09-21 11:13:29 | ICU_WATER_RESERVE | 13 | NORMAL
2026-09-21 11:13:30 | FACILITY_WATER_MAIN | 35 | NORMAL
2026-09-21 11:13:30 | ICU_WATER_RESERVE | 26 | NORMAL
2026-09-21 11:13:31 | FACILITY_WATER_MAIN | 18 | NORMAL
2026-09-21 11:13:31 | ICU_WATER_RESERVE | 39 | HIGH_USAGE
2026-09-21 11:13:32 | FACILITY_WATER_MAIN | 10 | NORMAL
2026-09-21 11:13:32 | ICU_WATER_RESERVE | 20 | NORMAL
2026-09-21 11:13:33 | FACILITY_WATER_MAIN | 24 | NORMAL
2026-09-21 11:13:33 | ICU_WATER_RESERVE | 33 | NORMAL
2026-09-21 11:13:34 | FACILITY_WATER_MAIN | 21 | NORMAL
2026-09-21 11:13:34 | ICU_WATER_RESERVE | 11 | NORMAL
2026-09-21 11:13:35 | FACILITY_WATER_MAIN | 15 | NORMAL
2026-09-21 11:13:35 | ICU_WATER_RESERVE | 42 | HIGH_USAGE
2026-09-21 11:13:36 | FACILITY_WATER_MAIN | 14 | NORMAL
2026-09-21 11:13:36 | ICU_WATER_RESERVE | 34 | NORMAL
2026-09-21 11:13:37 | FACILITY_WATER_MAIN | 26 | NORMAL
2026-09-21 11:13:37 | ICU_WATER_RESERVE | 26 | NORMAL
2026-09-21 11:13:38 | FACILITY_WATER_MAIN | 37 | HIGH_USAGE
2026-09-21 11:13:38 | ICU_WATER_RESERVE | 16 | NORMAL
2026-09-21 11:13:39 | FACILITY_WATER_MAIN | 27 | NORMAL
2026-09-21 11:13:39 | ICU_WATER_RESERVE | 6 | NORMAL
